173, -853, -831.38, 15140.71
174, -852, -830.41, 15140.71
175, -851, -829.43, 15196.99
176, -850, -828.46, 15196.99
177, -849, -827.49, 15121.95
178, -848, -826.51, 15121.95
179, -847, -825.54, 15140.71
180, -846, -824.56, 15121.95
181, -845, -823.59, 15121.95
182, -844, -822.61, 15159.47
183, -843, -821.64, 15103.18
184, -842, -820.66, 15178.23
185, -841, -819.69, 15121.95
186, -840, -818.71, 15084.42
187, -839, -817.74, 15121.95
188, -838, -816.76, 15084.42
189, -837, -815.79, 15140.71
190, -836, -814.81, 15121.95
191, -835, -813.84, 15215.75
192, -834, -812.87, 15159.47
193, -833, -811.89, 15253.28
194, -832, -810.92, 15159.47
195, -831, -809.94, 15140.71
196, -830, -808.97, 15103.18
197, -829, -807.99, 15121.95
198, -828, -807.02, 15065.66
199, -827, -806.04, 15121.95
200, -826, -805.07, 15178.23
201, -825, -804.09, 15084.42
202, -824, -803.12, 15028.14
203, -823, -802.14, 15121.95
204, -822, -801.17, 15196.99
205, -821, -800.19, 15121.95
206, -820, -799.22, 15178.23
207, -819, -798.25, 15215.75
208, -818, -797.27, 15084.42
209, -817, -796.30, 15121.95
210, -816, -795.32, 15234.52
211, -815, -794.35, 15159.47
212, -814, -793.37, 15159.47
213, -813, -792.40, 15196.99
214, -812, -791.42, 15121.95
215, -811, -790.45, 15140.71
216, -810, -789.47, 15121.95
217, -809, -788.50, 15196.99
218, -808, -787.52, 15121.95
219, -807, -786.55, 15159.47
220, -806, -785.58, 15121.95
221, -805, -784.60, 15065.66
222, -804, -783.63, 15103.18
223, -803, -782.65, 15159.47
224, -802, -781.68, 15159.47
225, -801, -780.70, 15103.18
226, -800, -779.73, 15196.99
227, -799, -778.75, 15196.99
228, -798, -777.78, 15121.95
229, -797, -776.80, 15178.23
230, -796, -775.83, 15196.99
231, -795, -774.85, 15140.71
232, -794, -773.88, 15121.95
233, -793, -772.90, 15140.71
234, -792, -771.93, 15140.71
235, -791, -770.96, 15215.75
236, -790, -769.98, 15084.42
237, -789, -769.01, 15140.71
238, -788, -768.03, 15140.71
239, -787, -767.06, 15159.47
240, -786, -766.08, 15084.42
241, -785, -765.11, 15103.18
242, -784, -764.13, 15084.42
243, -783, -763.16, 15084.42
244, -782, -762.18, 15121.95
245, -781, -761.21, 15196.99
246, -780, -760.23, 15046.90
247, -779, -759.26, 15103.18
248, -778, -758.28, 15159.47
249, -777, -757.31, 15065.66
250, -776, -756.34, 15121.95
251, -775, -755.36, 15140.71
252, -774, -754.39, 15140.71
253, -773, -753.41, 15121.95
254, -772, -752.44, 15065.66
255, -771, -751.46, 15196.99
256, -770, -750.49, 15196.99
257, -769, -749.51, 15159.47
258, -768, -748.54, 15196.99
259, -767, -747.56, 15178.23
260, -766, -746.59, 15215.75
261, -765, -745.61, 15159.47
262, -764, -744.64, 15215.75
263, -763, -743.66, 15103.18
264, -762, -742.69, 15196.99
265, -761, -741.72, 15065.66
266, -760, -740.74, 15121.95
267, -759, -739.77, 15196.99
268, -758, -738.79, 15084.42
269, -757, -737.82, 15215.75
270, -756, -736.84, 15084.42
271, -755, -735.87, 15084.42
272, -754, -734.89, 15140.71
273, -753, -733.92, 15065.66
274, -752, -732.94, 15103.18
275, -751, -731.97, 15103.18
276, -750, -730.99, 15196.99
277, -749, -730.02, 15140.71
278, -748, -729.04, 15140.71
279, -747, -728.07, 15121.95
280, -746, -727.10, 15178.23
281, -745, -726.12, 15121.95
282, -744, -725.15, 15159.47
283, -743, -724.17, 15140.71
284, -742, -723.20, 15253.28
285, -741, -722.22, 15140.71
286, -740, -721.25, 15084.42
287, -739, -720.27, 15234.52
288, -738, -719.30, 15140.71
289, -737, -718.32, 15046.90
290, -736, -717.35, 15178.23
291, -735, -716.37, 15103.18
292, -734, -715.40, 15196.99
293, -733, -714.42, 15159.47
